call_date,platform,intent,call_duration_sec,num_turns,num_reprompts,asr_confidence,api_latency_ms,transferred_to_agent,csat_score,duration_minmax,latency_zscore,turns_decimal,duration_category,asr_level
2026-02-21,Legacy IVR,Balance Inquiry,194.0,6,1,0.796,196.0,0,4.0,0.2779,-0.3378,0.06,Medium (2.5-5 min),Low
2026-02-07,Legacy IVR,Cancel a Payment,235.0,6,1,0.614,192.0,0,5.0,0.3797,-0.3847,0.06,Medium (2.5-5 min),Low
2026-01-20,New Platform,Make a Payment,216.0,7,1,0.953,205.0,0,3.0,0.3325,-0.2323,0.07,Medium (2.5-5 min),High
2026-02-17,New Platform,Make a Payment,263.0,5,0,0.836,286.0,0,4.0,0.4491,0.7177,0.05,Medium (2.5-5 min),Medium
2026-03-09,New Platform,Balance Inquiry,133.0,6,0,0.83,277.0,0,5.0,0.1266,0.6121,0.06,Short (<2.5 min),Medium
2026-02-12,New Platform,Balance Inquiry,117.0,5,1,0.816,213.0,0,4.0,0.0868,-0.1384,0.05,Short (<2.5 min),Low
2026-02-25,New Platform,Rewards Redemption,260.0,9,1,0.831,178.0,0,4.0,0.4417,-0.5489,0.09,Medium (2.5-5 min),Medium
2026-02-21,New Platform,Balance Inquiry,82.0,4,0,0.819,264.0,0,5.0,0.0,0.4597,0.04,Short (<2.5 min),Low
2026-02-21,Legacy IVR,Balance Inquiry,145.0,3,0,0.76,170.0,0,4.0,0.1563,-0.6427,0.03,Short (<2.5 min),Low
2026-01-27,Legacy IVR,Rewards Redemption,309.0,7,1,0.888,316.0,0,5.0,0.5633,1.0695,0.07,Long (>5 min),High
2026-03-27,New Platform,Rewards Redemption,265.0,9,0,0.796,241.0,0,5.0,0.4541,0.1899,0.09,Medium (2.5-5 min),Low
2026-01-04,New Platform,Rewards Redemption,206.0,7,0,0.882,150.0,0,5.0,0.3077,-0.8773,0.07,Medium (2.5-5 min),Medium
2026-03-15,New Platform,Recent Transactions,193.0,8,0,0.871,210.0,0,4.0,0.2754,-0.1736,0.08,Medium (2.5-5 min),Medium
2026-03-03,Legacy IVR,Recent Transactions,160.0,5,1,0.768,169.0,0,4.0,0.1935,-0.6545,0.05,Medium (2.5-5 min),Low
2026-03-09,New Platform,Rewards Redemption,257.0,5,0,0.712,154.0,0,5.0,0.4342,-0.8304,0.05,Medium (2.5-5 min),Low
2026-01-12,New Platform,Balance Inquiry,105.0,6,0,0.85,238.0,0,4.0,0.0571,0.1548,0.06,Short (<2.5 min),Medium
2026-03-13,Legacy IVR,Cancel a Payment,326.0,10,1,0.858,165.0,0,4.0,0.6055,-0.7014,0.1,Long (>5 min),Medium
2026-01-07,Legacy IVR,Rewards Redemption,303.0,12,0,0.888,150.0,0,5.0,0.5484,-0.8773,0.12,Long (>5 min),High
2026-03-14,Legacy IVR,Make a Payment,268.0,8,1,0.784,191.0,0,4.0,0.4615,-0.3965,0.08,Medium (2.5-5 min),Low
2026-03-02,Legacy IVR,Balance Inquiry,144.0,4,0,0.829,238.0,0,4.0,0.1538,0.1548,0.04,Short (<2.5 min),Medium
2026-01-13,Legacy IVR,Make a Payment,276.0,5,2,0.674,178.0,0,4.0,0.4814,-0.5489,0.05,Medium (2.5-5 min),Low
2026-01-20,Legacy IVR,Balance Inquiry,197.0,6,3,0.86,227.0,0,3.0,0.2854,0.0258,0.06,Medium (2.5-5 min),Medium
2026-01-06,Legacy IVR,Recent Transactions,321.0,7,0,0.838,223.0,1,5.0,0.5931,-0.0212,0.07,Long (>5 min),Medium
2026-03-11,Legacy IVR,Make a Payment,196.0,6,0,0.743,206.0,0,4.0,0.2829,-0.2205,0.06,Medium (2.5-5 min),Low
2026-02-28,New Platform,Make a Payment,228.0,4,0,0.896,99.0,0,4.0,0.3623,-1.4754,0.04,Medium (2.5-5 min),High
2026-03-21,New Platform,Make a Payment,266.0,5,0,0.951,194.0,0,3.0,0.4566,-0.3613,0.05,Medium (2.5-5 min),High
2026-03-11,New Platform,Make a Payment,139.0,7,0,0.933,146.0,0,4.0,0.1414,-0.9242,0.07,Short (<2.5 min),High
2026-02-21,Legacy IVR,Balance Inquiry,267.0,8,3,0.855,223.0,0,3.0,0.4591,-0.0212,0.08,Medium (2.5-5 min),Medium
2026-01-27,New Platform,Recent Transactions,188.0,5,0,0.895,211.0,0,5.0,0.263,-0.1619,0.05,Medium (2.5-5 min),High
2026-02-01,New Platform,Make a Payment,241.0,8,0,0.952,230.0,0,5.0,0.3945,0.0609,0.08,Medium (2.5-5 min),High
2026-03-23,New Platform,Make a Payment,261.0,5,0,0.938,295.0,0,3.0,0.4442,0.8233,0.05,Medium (2.5-5 min),High
2026-02-10,Legacy IVR,Make a Payment,289.0,7,0,0.791,233.0,0,5.0,0.5136,0.0961,0.07,Medium (2.5-5 min),Low
2026-01-22,Legacy IVR,Recent Transactions,192.0,6,0,0.87,161.0,0,3.0,0.273,-0.7483,0.06,Medium (2.5-5 min),Medium
2026-01-18,Legacy IVR,Make a Payment,352.0,10,2,0.874,362.0,0,3.0,0.67,1.609,0.1,Long (>5 min),Medium
2026-01-12,Legacy IVR,Recent Transactions,158.0,7,1,0.85,189.0,0,4.0,0.1886,-0.4199,0.07,Medium (2.5-5 min),Medium
2026-01-24,Legacy IVR,Balance Inquiry,229.0,11,2,0.766,319.0,0,3.0,0.3648,1.1047,0.11,Medium (2.5-5 min),Low
2026-01-20,New Platform,Rewards Redemption,307.0,7,0,0.969,404.0,0,5.0,0.5583,2.1016,0.07,Long (>5 min),High
2026-01-21,Legacy IVR,Balance Inquiry,145.0,5,0,0.717,252.0,0,5.0,0.1563,0.319,0.05,Short (<2.5 min),Low
2026-01-13,Legacy IVR,Make a Payment,364.0,8,1,0.838,302.0,1,3.0,0.6998,0.9053,0.08,Long (>5 min),Medium
2026-01-30,New Platform,Recent Transactions,209.0,6,1,0.766,160.0,0,3.0,0.3151,-0.76,0.06,Medium (2.5-5 min),Low
2026-01-17,Legacy IVR,Balance Inquiry,136.0,4,0,0.676,193.0,0,5.0,0.134,-0.373,0.04,Short (<2.5 min),Low
