call_id,call_date,hour_of_day,platform,intent,call_duration_sec,num_turns,num_reprompts,asr_confidence,api_latency_ms,transferred_to_agent,csat_score
C10000,2026-01-01,6,Legacy IVR,Cancel a Payment,338.0,8,1,0.739,176.0,0,5.0
C10001,2026-01-01,7,Legacy IVR,Cancel a Payment,,12,0,0.679,,1,4.0
C10002,2026-01-01,7,Legacy IVR,Recent Transactions,256.0,8,2,,267.0,0,3.0
C10003,2026-01-01,7,New Platform,Make a Payment,256.0,4,0,0.823,290.0,0,5.0
C10004,2026-01-01,8,Legacy IVR,Recent Transactions,211.0,5,1,0.932,370.0,0,4.0
C10005,2026-01-01,12,Legacy IVR,Recent Transactions,257.0,7,1,0.597,390.0,0,4.0
C10006,2026-01-01,14,Legacy IVR,Recent Transactions,250.0,7,2,0.819,294.0,0,3.0
C10007,2026-01-01,15,Legacy IVR,Balance Inquiry,209.0,5,1,0.867,329.0,0,
C10008,2026-01-01,18,Legacy IVR,Cancel a Payment,385.0,8,1,0.787,219.0,1,4.0
C10009,2026-01-01,20,Legacy IVR,Balance Inquiry,402.0,7,3,0.758,128.0,1,3.0
C10010,2026-01-01,20,Legacy IVR,Make a Payment,300.0,5,0,0.782,224.0,0,3.0
C10011,2026-01-01,21,Legacy IVR,Balance Inquiry,258.0,8,3,0.963,225.0,0,3.0
C10012,2026-01-01,21,Legacy IVR,Make a Payment,246.0,7,2,,311.0,0,4.0
C10013,2026-01-01,22,Legacy IVR,Recent Transactions,252.0,6,1,0.798,193.0,0,4.0
C10014,2026-01-01,22,Legacy IVR,Rewards Redemption,294.0,6,0,0.822,,0,4.0
C10015,2026-01-02,6,Legacy IVR,Balance Inquiry,183.0,6,1,0.897,236.0,0,4.0
C10016,2026-01-02,6,New Platform,Rewards Redemption,323.0,11,2,0.833,217.0,0,4.0
C10017,2026-01-02,7,Legacy IVR,Rewards Redemption,458.0,9,3,0.963,237.0,0,
C10018,2026-01-02,9,New Platform,Make a Payment,168.0,5,0,0.889,91.0,0,5.0
C10019,2026-01-02,9,Legacy IVR,,181.0,6,0,0.893,416.0,0,4.0
C10020,2026-01-02,9,Legacy IVR,Make a Payment,264.0,6,1,0.776,281.0,0,4.0
C10021,2026-01-02,10,Legacy IVR,Rewards Redemption,415.0,10,3,0.799,112.0,1,2.0
C10022,2026-01-02,13,Legacy IVR,Recent Transactions,173.0,4,0,0.718,190.0,0,4.0
C10023,2026-01-02,14,Legacy IVR,Make a Payment,450.0,9,1,0.832,,1,3.0
C10024,2026-01-02,19,Legacy IVR,Make a Payment,267.0,7,2,0.866,,0,3.0
C10025,2026-01-02,20,Legacy IVR,Rewards Redemption,266.0,8,2,0.835,239.0,0,4.0
C10026,2026-01-02,20,Legacy IVR,Recent Transactions,164.0,5,1,0.644,189.0,0,5.0
C10027,2026-01-03,6,Legacy IVR,Balance Inquiry,380.0,9,6,0.78,275.0,1,1.0
C10028,2026-01-03,11,Legacy IVR,Rewards Redemption,505.0,11,2,0.417,259.0,1,2.0
C10029,2026-01-03,12,Legacy IVR,Make a Payment,254.0,7,0,0.817,301.0,0,4.0
C10030,2026-01-03,20,Legacy IVR,Balance Inquiry,193.0,5,2,0.914,194.0,0,4.0
C10031,2026-01-03,21,Legacy IVR,Make a Payment,306.0,7,3,0.833,229.0,0,3.0
C10032,2026-01-03,21,Legacy IVR,Balance Inquiry,266.0,6,1,0.548,170.0,1,
C10033,2026-01-03,22,Legacy IVR,Cancel a Payment,347.0,8,1,0.769,193.0,0,4.0
C10034,2026-01-04,6,New Platform,Cancel a Payment,232.0,5,0,0.871,161.0,0,5.0
C10035,2026-01-04,9,Legacy IVR,Balance Inquiry,179.0,6,1,0.814,223.0,0,3.0
C10036,2026-01-04,10,Legacy IVR,Make a Payment,438.0,9,2,0.806,263.0,0,4.0
C10037,2026-01-04,10,New Platform,Rewards Redemption,206.0,7,0,0.882,150.0,0,5.0
C10038,2026-01-04,13,Legacy IVR,Cancel a Payment,435.0,9,2,0.783,216.0,0,2.0
